Sample,d2H,d18O,d17O,Contaminant
N6919KKW3,-81.429781,-10.913856,-5.546872,NBS
N6919KKW2,-84.606138,-12.233397,-6.962562,
N6919KKW1,-84.674858,-12.399011,-6.898536,
N5919KKW3,-84.26644,-12.334418,-6.904314,
N5919KKW3 QCD,-83.44185,-12.353538,-6.89579,
N5919KKW2,-82.992099,-12.226605,-6.974221,
N5919KKW1,-83.276967,-12.294354,-6.951498,
N4919KKW3,-88.418977,-12.909823,-7.269245,
N4919KKW2,-88.685675,-12.95164,-7.340243,
N4919KKW1,-87.998467,-13.058679,-7.78643,
P20919KKW3,-76.731432,-9.854316,-5.083659,NBS + BBS
P20919KKW2,-84.472961,-12.490168,-7.436294,
P20919KKW1,-80.631649,-11.133962,-6.244052,NBS
N2919KKW3,-79.061314,-11.660778,-7.039287,
N2919KKW2,-79.357014,-11.741943,-6.801353,
N2919KKW2 QCD,-78.893549,-11.527321,-6.577061,
N2919KKW1,-78.76925,-11.52174,-6.515733,
N1919KKW3,-80.042899,-11.857267,-6.670492,
N1919KKW2,-80.642741,-11.929256,-6.845487,
N1919KKW1,-81.930331,-11.963171,-6.76698,
S6919KKW3,-92.546756,-13.725221,-7.745784,
S6919KKW2,-92.46431,-13.762934,-7.790394,
S6919KKW1,-91.700858,-13.255883,-7.616957,
S5919KKW3,-96.738796,-14.314,-8.135497,
S5919KKW2,-95.616476,-13.870262,-7.921842,
S5919KKW1,-94.587142,-14.065139,-7.902938,
S5919KKW1 QCD,-95.426384,-14.130836,-7.904177,
S4919KKW3,-94.645351,-13.765462,-7.825975,
S4919KKW2,-93.549792,-13.506917,-7.911666,
S4919KKW1,-93.698419,-13.761967,-7.824487,
S3919KKW3,-84.655764,-12.453797,-7.132713,
S3919KKW2,-84.373788,-12.27081,-7.148915,
S3919KKW1,-83.932708,-12.207659,-6.953056,
S2919KKW3,-78.485396,-11.712991,-7.128304,
S2919KKW2,-79.979897,-12.046639,-7.276841,
S2919KKW1,-78.962922,-11.928875,-7.004943,
S1919KKW3,-80.006639,-12.134947,-7.119062,
S1919KKW3 QCD,-80.026206,-11.674772,-7.030227,
S1919KKW2,-80.473366,-12.037737,-7.076634,
S1919KKW1,-80.106579,-11.800443,-7.016967,
